gpu_vram_gb,workload_type,framework,model_size_mb,batch_size,dataset_size_mb,epochs,runtime_minutes
6.0,FineTuning,PyTorch,2724.0,16,7431.5,10,360.0
8.0,FineTuning,TensorFlow,2230.9,8,12523.9,100,360.0
4.0,Training,PyTorch,3812.5,128,11664.9,30,360.0
12.0,Training,PyTorch,2053.3,256,11025.8,30,315.97
4.0,FineTuning,PyTorch,1825.2,128,13419.3,50,360.0
48.0,Training,PyTorch,1027.8,32,13938.3,100,360.0
4.0,Training,TensorFlow,440.5,32,6734.8,5,154.4
4.0,Training,PyTorch,2215.2,32,4314.0,5,360.0
6.0,FineTuning,PyTorch,1293.8,64,7725.6,50,360.0
6.0,Training,PyTorch,2119.9,32,1486.7,50,360.0
16.0,FineTuning,TensorFlow,864.2,256,14078.6,50,138.29
24.0,Training,PyTorch,3360.8,32,14759.4,10,360.0
12.0,FineTuning,PyTorch,3998.8,32,9825.3,20,360.0
4.0,Training,PyTorch,1323.5,8,11217.8,50,360.0
4.0,FineTuning,TensorFlow,3377.2,32,4922.7,30,360.0
8.0,Training,PyTorch,3498.3,128,13007.4,5,252.85
6.0,Inference,PyTorch,3984.5,8,13514.5,10,360.0
12.0,Inference,PyTorch,1403.7,16,1245.8,100,167.0
16.0,Inference,PyTorch,3036.4,64,2058.5,20,29.14
24.0,Inference,JAX,953.8,8,3986.7,5,22.81
10.0,Training,PyTorch,2517.9,8,10584.7,5,360.0
24.0,FineTuning,JAX,2834.1,128,2832.1,5,12.12
48.0,FineTuning,PyTorch,2977.4,256,3379.2,30,19.3
4.0,FineTuning,PyTorch,868.3,256,5789.8,30,109.83
16.0,Inference,PyTorch,3402.5,32,9213.4,30,360.0
48.0,FineTuning,JAX,1712.8,16,14647.0,20,360.0
12.0,Inference,PyTorch,904.7,128,11780.0,5,6.87
10.0,Training,TensorFlow,2193.0,128,8418.7,50,360.0
6.0,Inference,PyTorch,3460.3,8,835.9,20,272.58
16.0,FineTuning,PyTorch,3870.0,16,7800.9,30,360.0
16.0,FineTuning,TensorFlow,3005.4,128,3140.9,30,104.94
4.0,Training,JAX,72.2,256,4571.0,30,15.42
80.0,FineTuning,PyTorch,582.1,64,3837.8,100,28.16
16.0,Inference,PyTorch,351.3,64,5277.0,10,4.9
8.0,Training,PyTorch,449.8,128,1027.7,100,57.54
10.0,FineTuning,PyTorch,1563.0,8,8694.9,5,360.0
10.0,Training,PyTorch,1387.0,64,781.7,50,101.4
8.0,Inference,PyTorch,499.1,8,9942.7,5,86.12
8.0,FineTuning,PyTorch,3534.8,32,10989.0,20,360.0
8.0,Training,PyTorch,2480.9,32,7342.4,10,360.0
10.0,Training,JAX,3196.0,8,11740.7,20,360.0
24.0,FineTuning,PyTorch,1517.6,128,14514.1,30,199.23
10.0,Training,PyTorch,1670.4,32,5166.8,30,360.0
80.0,FineTuning,JAX,1304.6,256,9321.7,50,20.36
4.0,Inference,PyTorch,1781.8,32,4923.6,5,70.77
48.0,Inference,PyTorch,2461.0,256,6706.4,20,5.5
24.0,Training,PyTorch,1997.3,64,410.3,100,82.47
6.0,Inference,PyTorch,3359.8,128,1207.8,30,26.03
48.0,FineTuning,TensorFlow,3605.5,8,11983.2,50,360.0
4.0,Training,PyTorch,1905.3,32,2184.6,50,360.0
80.0,Training,PyTorch,997.0,128,10517.4,20,28.06
80.0,Training,PyTorch,3783.5,32,10662.1,5,119.96
6.0,Inference,JAX,2953.4,64,14943.8,10,181.12
24.0,Training,PyTorch,2578.5,128,10464.4,50,360.0
8.0,Training,PyTorch,2994.4,16,2018.3,20,360.0
24.0,FineTuning,PyTorch,350.1,64,9435.5,30,50.81
80.0,FineTuning,PyTorch,317.1,8,7909.7,10,26.39
10.0,FineTuning,PyTorch,654.8,128,13769.1,10,59.62
4.0,FineTuning,PyTorch,632.4,256,10383.2,5,24.44
6.0,Training,PyTorch,1711.6,32,7825.3,20,360.0
4.0,Inference,PyTorch,671.7,256,9400.8,5,6.05
12.0,Training,PyTorch,3425.4,128,6707.6,50,360.0
12.0,FineTuning,PyTorch,2333.5,8,7675.3,50,360.0
24.0,FineTuning,TensorFlow,1504.6,256,10862.9,100,226.6
80.0,Training,PyTorch,325.0,256,1267.4,20,0.98
80.0,Inference,PyTorch,2384.6,256,9268.5,30,8.22
8.0,FineTuning,PyTorch,510.3,128,1414.4,100,52.36
8.0,Training,PyTorch,2985.7,32,12840.6,100,360.0
8.0,Inference,PyTorch,3220.9,256,14142.7,50,182.79
10.0,FineTuning,TensorFlow,2198.7,64,11725.0,50,360.0
48.0,FineTuning,PyTorch,640.9,64,10798.7,30,51.06
16.0,FineTuning,JAX,3158.1,32,14161.8,100,360.0
48.0,Inference,JAX,1265.9,16,3356.1,10,12.57
4.0,Training,PyTorch,929.5,16,3509.6,20,360.0
48.0,Training,TensorFlow,1908.7,64,7267.1,10,62.82
10.0,FineTuning,PyTorch,3694.5,256,211.2,5,2.27
4.0,Training,PyTorch,1224.6,8,14479.5,30,360.0
48.0,FineTuning,PyTorch,3627.0,128,580.6,20,5.07
10.0,Training,PyTorch,261.9,32,8982.1,30,288.87
16.0,Training,JAX,379.9,8,5374.2,30,360.0
48.0,Training,TensorFlow,2809.3,256,1634.2,10,5.48
10.0,FineTuning,TensorFlow,802.8,128,466.8,10,3.09
8.0,Inference,PyTorch,1300.7,64,4010.0,5,11.6
80.0,Training,PyTorch,588.7,32,1689.6,20,10.67
8.0,FineTuning,PyTorch,1362.4,8,14110.9,30,360.0
80.0,Training,PyTorch,1157.8,128,3746.9,100,49.78
6.0,FineTuning,PyTorch,2958.5,64,1502.6,5,37.3
6.0,Training,PyTorch,2823.0,64,11568.3,30,360.0
6.0,FineTuning,PyTorch,3822.0,128,6272.4,5,143.91
16.0,FineTuning,PyTorch,2911.5,16,12670.6,30,360.0
8.0,Inference,PyTorch,2794.5,16,12592.6,10,360.0
80.0,Training,PyTorch,2792.1,128,14886.5,50,293.28
10.0,FineTuning,TensorFlow,3537.7,128,12077.0,5,113.85
4.0,FineTuning,PyTorch,1220.1,128,3290.9,5,25.33
10.0,Inference,PyTorch,1235.4,64,8838.1,50,137.12
4.0,Training,TensorFlow,2977.8,256,7941.1,10,329.51
12.0,Training,JAX,953.4,256,7672.0,5,14.2
10.0,Inference,TensorFlow,3652.5,32,4522.4,10,90.97
48.0,Training,PyTorch,2162.4,64,3231.1,100,291.26
48.0,Training,PyTorch,1235.5,64,10781.7,30,161.07
24.0,Training,JAX,3115.6,16,1616.2,100,360.0
8.0,Inference,TensorFlow,1283.7,128,839.3,30,6.78
4.0,Training,PyTorch,3854.9,64,5780.5,50,360.0
4.0,Inference,PyTorch,3932.8,64,11184.5,20,360.0
8.0,FineTuning,PyTorch,2683.8,128,13041.1,10,249.7
16.0,Training,PyTorch,498.9,256,8147.9,20,29.03
24.0,Training,PyTorch,1089.7,32,12615.0,20,360.0
16.0,Training,PyTorch,2085.9,16,476.8,10,46.33
16.0,FineTuning,JAX,3413.2,8,6885.0,20,360.0
16.0,FineTuning,PyTorch,780.3,256,2087.5,5,3.26
8.0,FineTuning,TensorFlow,462.4,64,8782.5,30,171.61
16.0,Training,PyTorch,344.2,32,13822.7,100,360.0
48.0,FineTuning,PyTorch,2052.5,8,207.1,50,51.19
6.0,Inference,PyTorch,3544.6,256,10056.5,10,43.74
12.0,FineTuning,TensorFlow,217.3,256,11906.0,50,33.86
4.0,Inference,PyTorch,888.7,128,11192.8,100,353.05
4.0,Training,PyTorch,2788.4,8,394.6,30,360.0
12.0,Inference,TensorFlow,3312.2,128,2690.9,50,57.15
8.0,Training,PyTorch,3239.2,256,1506.5,10,35.18
10.0,Training,JAX,3151.0,256,1373.3,50,89.45
8.0,Inference,JAX,562.7,256,10979.7,20,12.09
4.0,Inference,JAX,1619.1,32,6429.4,20,284.54
4.0,FineTuning,PyTorch,3939.7,256,10899.8,30,360.0
12.0,Training,PyTorch,3956.1,8,5475.2,20,360.0
16.0,Training,JAX,2429.6,16,1844.0,50,360.0
8.0,FineTuning,PyTorch,2851.6,32,10804.9,5,360.0
80.0,Inference,PyTorch,3807.6,8,9428.3,50,360.0
12.0,Training,TensorFlow,1827.2,64,1783.3,5,26.06
48.0,Inference,PyTorch,590.6,8,13873.0,50,248.33
4.0,Training,TensorFlow,2692.3,8,4702.9,5,360.0
12.0,Inference,TensorFlow,3842.4,16,9855.5,5,183.36
8.0,Inference,TensorFlow,2804.0,32,576.5,10,14.03
4.0,Training,PyTorch,3223.1,64,6701.3,10,360.0
10.0,Training,PyTorch,1719.9,256,14469.0,100,360.0
12.0,Inference,PyTorch,431.0,32,13309.0,50,122.29
24.0,FineTuning,PyTorch,717.1,32,3398.1,20,45.41
4.0,FineTuning,PyTorch,3931.5,64,13199.0,10,360.0
8.0,FineTuning,PyTorch,1998.1,64,4466.7,5,80.36
6.0,Training,PyTorch,97.5,16,12798.3,50,360.0
80.0,Inference,PyTorch,3823.7,128,10965.5,20,15.63
16.0,Training,TensorFlow,2016.2,16,5345.6,50,360.0
8.0,Inference,PyTorch,3353.3,256,13670.8,5,23.51
48.0,Training,PyTorch,2216.4,64,7330.7,10,75.61
48.0,FineTuning,PyTorch,451.7,8,4833.6,10,41.5
6.0,Training,TensorFlow,2481.5,8,4267.3,30,360.0
16.0,Training,PyTorch,3989.7,32,14092.1,30,360.0
24.0,Training,PyTorch,187.2,32,11402.9,100,335.46
6.0,FineTuning,PyTorch,3375.1,128,5313.5,100,360.0
6.0,FineTuning,PyTorch,980.1,128,3887.1,100,360.0
4.0,Inference,JAX,1605.8,128,3253.1,50,107.08
48.0,Training,JAX,1522.2,128,3742.9,50,52.41
4.0,FineTuning,PyTorch,3600.2,8,1753.6,20,360.0
80.0,FineTuning,TensorFlow,2042.7,64,7322.6,100,216.46
16.0,Training,TensorFlow,1816.3,256,712.0,10,5.37
24.0,Training,JAX,3281.2,256,271.6,100,21.6
24.0,FineTuning,PyTorch,243.2,128,9309.3,10,7.71
8.0,Training,PyTorch,391.5,16,1418.3,100,360.0
6.0,Training,PyTorch,135.7,256,12693.6,30,49.35
80.0,FineTuning,PyTorch,2767.5,128,1690.3,5,2.36
48.0,Training,PyTorch,2126.2,8,8185.8,5,297.0
24.0,FineTuning,TensorFlow,3510.3,32,10165.0,100,360.0
80.0,Inference,TensorFlow,2019.2,16,3514.4,30,32.44
10.0,FineTuning,TensorFlow,926.2,128,13335.1,50,360.0
10.0,FineTuning,PyTorch,3230.3,8,7272.7,100,360.0
4.0,Training,PyTorch,1212.6,32,4798.3,100,360.0
48.0,Inference,PyTorch,3746.0,128,13526.8,10,15.96
8.0,Training,PyTorch,1039.2,8,12889.3,10,360.0
24.0,FineTuning,JAX,712.5,8,10673.4,100,360.0
6.0,Inference,PyTorch,1998.6,64,4428.2,10,45.16
6.0,FineTuning,TensorFlow,249.5,8,5914.1,5,132.45
24.0,FineTuning,PyTorch,193.8,128,10377.0,50,28.73
16.0,Training,PyTorch,2009.3,8,2860.7,100,360.0
8.0,Training,PyTorch,899.7,16,7477.2,5,284.67
80.0,FineTuning,PyTorch,86.9,8,11092.1,50,64.74
16.0,Training,PyTorch,1219.4,8,9899.9,30,360.0
16.0,FineTuning,PyTorch,1935.6,256,10827.0,50,211.39
4.0,Training,PyTorch,1607.4,16,13389.6,5,360.0
10.0,Inference,JAX,585.1,128,14527.5,10,13.29
16.0,Training,TensorFlow,2339.7,32,6929.9,5,239.34
16.0,FineTuning,JAX,2855.8,64,993.7,30,73.45
12.0,FineTuning,TensorFlow,2718.4,256,12531.8,10,79.6
4.0,FineTuning,TensorFlow,1605.4,32,1857.7,5,94.04
48.0,Training,PyTorch,593.5,128,3369.7,10,4.84
12.0,FineTuning,PyTorch,2023.0,128,9832.2,30,285.52
12.0,Training,PyTorch,3567.2,256,11211.5,50,360.0
24.0,Training,TensorFlow,1901.5,16,10450.2,50,360.0
10.0,Training,PyTorch,822.9,32,6633.5,20,360.0
16.0,FineTuning,PyTorch,417.6,8,13779.2,10,333.4
10.0,Training,JAX,3778.5,16,12499.7,100,360.0
8.0,Inference,PyTorch,2984.9,16,9988.9,30,360.0
24.0,FineTuning,JAX,1286.2,64,6672.0,5,20.98
48.0,Training,TensorFlow,1216.6,16,7011.0,100,360.0
10.0,FineTuning,PyTorch,3586.1,32,2721.9,5,96.94
6.0,Inference,PyTorch,751.4,128,11717.6,20,42.21
8.0,Training,TensorFlow,2163.4,256,13002.9,5,90.41
4.0,FineTuning,PyTorch,2868.3,64,12426.5,30,360.0
48.0,FineTuning,TensorFlow,1615.7,256,8251.8,30,28.2
8.0,Training,TensorFlow,207.6,256,12585.3,50,81.15
24.0,Inference,PyTorch,949.6,8,11877.1,10,117.29
12.0,Training,PyTorch,3612.1,32,12502.2,10,360.0
12.0,Training,PyTorch,2116.3,8,14730.8,5,360.0
24.0,Inference,PyTorch,3271.0,16,12169.0,10,205.47
80.0,FineTuning,PyTorch,2245.0,32,4133.3,20,58.3
12.0,Inference,TensorFlow,3777.2,256,12330.9,10,25.95
4.0,FineTuning,PyTorch,3641.1,64,5697.0,100,360.0
4.0,FineTuning,TensorFlow,1957.4,256,7791.3,5,54.07
6.0,Inference,PyTorch,1307.2,64,11966.4,10,83.27
16.0,Training,PyTorch,2426.6,8,4819.1,100,360.0
80.0,FineTuning,PyTorch,2715.8,128,488.6,30,4.5
48.0,FineTuning,TensorFlow,2018.5,256,10800.4,30,35.5
12.0,Training,PyTorch,3298.0,64,13542.4,50,360.0
4.0,FineTuning,PyTorch,774.1,8,13925.5,50,360.0
24.0,Training,TensorFlow,1370.9,128,12003.8,50,336.06
12.0,FineTuning,PyTorch,2761.2,32,14033.6,50,360.0
16.0,FineTuning,PyTorch,1024.4,64,12327.8,10,116.06
24.0,Inference,PyTorch,1787.4,64,548.5,100,11.49
8.0,Training,TensorFlow,3856.7,256,5309.9,5,64.97
8.0,FineTuning,PyTorch,2522.2,256,5108.0,10,51.42
12.0,Training,PyTorch,3798.8,8,3365.5,5,360.0
16.0,FineTuning,PyTorch,2903.6,64,11989.3,5,131.48
80.0,FineTuning,JAX,2912.4,8,7849.3,5,135.19
12.0,FineTuning,PyTorch,2387.8,64,12560.7,5,153.1
4.0,Inference,PyTorch,611.7,8,9060.1,30,360.0
10.0,Inference,PyTorch,2102.9,64,8900.1,100,360.0
12.0,Training,PyTorch,1048.0,32,5823.8,5,84.44
12.0,Training,TensorFlow,3994.8,256,11865.1,10,186.7
24.0,FineTuning,PyTorch,1104.5,32,10278.1,5,51.17
10.0,FineTuning,TensorFlow,961.2,8,5147.4,30,360.0
4.0,Training,TensorFlow,2514.3,32,14904.2,10,360.0
12.0,FineTuning,JAX,2068.2,8,6995.6,100,360.0
24.0,Training,PyTorch,134.3,256,4817.2,20,3.68
16.0,Training,JAX,561.7,8,10348.1,10,360.0
12.0,Inference,PyTorch,3253.6,256,3419.8,30,25.51
10.0,Training,TensorFlow,1960.6,16,12476.6,100,360.0
6.0,Training,PyTorch,626.8,32,10237.4,30,360.0
10.0,Training,TensorFlow,1887.7,16,13064.0,50,360.0
8.0,Inference,PyTorch,1049.9,256,5002.9,20,9.98
4.0,Inference,TensorFlow,933.2,256,12830.9,5,11.59
48.0,FineTuning,JAX,3833.0,16,7563.9,30,360.0
12.0,Training,TensorFlow,1480.0,256,981.4,50,35.72
10.0,Inference,TensorFlow,233.4,64,2993.1,50,12.7
48.0,FineTuning,PyTorch,3882.8,8,3343.0,100,360.0
24.0,Inference,PyTorch,3189.6,128,11543.1,5,10.46
6.0,FineTuning,JAX,1054.9,16,3126.6,100,360.0
4.0,Training,PyTorch,1665.1,64,8472.6,10,360.0
10.0,FineTuning,PyTorch,3456.0,32,9822.9,20,360.0
48.0,Training,PyTorch,1461.8,128,11630.5,5,15.8
6.0,Training,PyTorch,2291.2,256,11779.8,100,360.0
8.0,FineTuning,PyTorch,2162.7,8,10792.3,5,360.0
4.0,Inference,PyTorch,1635.1,64,3276.4,10,49.54
4.0,FineTuning,PyTorch,2576.0,128,8197.7,10,360.0
8.0,FineTuning,PyTorch,1919.5,8,4423.5,30,360.0
12.0,Training,PyTorch,133.9,8,11649.0,10,180.9
8.0,Training,PyTorch,3266.8,128,11246.6,10,360.0
4.0,Training,PyTorch,497.0,64,3521.7,20,191.47
4.0,FineTuning,PyTorch,1883.2,256,9656.0,100,360.0
48.0,FineTuning,JAX,2340.6,128,970.6,100,34.58
6.0,Training,PyTorch,2836.7,16,11551.4,20,360.0
8.0,Inference,TensorFlow,1672.6,8,11725.0,20,360.0
6.0,Training,JAX,2955.4,32,5270.5,5,360.0
8.0,Inference,PyTorch,568.8,256,12113.2,20,12.56
24.0,FineTuning,PyTorch,2631.1,128,12888.6,20,177.09
4.0,Training,PyTorch,3314.0,128,2931.9,50,360.0
48.0,FineTuning,PyTorch,3563.3,8,5328.3,20,360.0
6.0,FineTuning,PyTorch,2339.3,8,3990.1,5,360.0
8.0,FineTuning,PyTorch,1285.9,128,5677.9,100,360.0
80.0,FineTuning,PyTorch,695.3,32,6758.9,50,77.1
24.0,Training,PyTorch,1415.0,8,7698.5,5,360.0
10.0,FineTuning,JAX,2182.9,8,623.0,5,76.36
12.0,Inference,PyTorch,825.5,16,922.0,50,42.81
6.0,Training,JAX,3812.4,64,9863.0,50,360.0
48.0,Training,PyTorch,3593.7,16,6696.8,50,360.0
10.0,Inference,PyTorch,180.2,32,1437.1,50,7.99
80.0,Training,PyTorch,2269.7,64,5854.8,5,15.47
12.0,FineTuning,JAX,3167.8,128,7184.9,50,360.0
80.0,FineTuning,PyTorch,1019.3,32,9570.3,10,31.06
10.0,FineTuning,PyTorch,2119.4,32,1863.1,100,360.0
12.0,Training,TensorFlow,1653.7,16,14922.6,20,360.0
80.0,Training,PyTorch,826.4,64,7173.1,20,36.21
48.0,Training,PyTorch,2478.2,32,10243.8,100,360.0
8.0,FineTuning,JAX,3975.1,64,13632.5,10,360.0
4.0,FineTuning,TensorFlow,1492.9,256,574.2,100,73.15
8.0,FineTuning,PyTorch,2231.9,128,9060.2,5,91.52
