gpu_utilization,cpu_utilization,ram_usage_percent,temperature_c,power_draw_w,hour_of_day,day_of_week,requested_duration_hours,historical_reliability,is_available
53.37,7.81,27.14,64.6,320.9,2,1,0.72,0.962,1
55.84,83.32,60.36,61.1,299.0,6,5,2.57,0.974,1
22.19,17.48,76.15,53.0,193.6,18,6,1.62,0.94,1
95.17,16.46,75.61,47.7,247.8,11,2,1.73,0.754,1
77.09,20.81,57.05,54.9,162.4,9,4,1.28,0.983,1
92.37,91.42,64.98,64.4,237.1,4,2,0.56,0.982,1
88.22,67.39,75.6,42.8,112.4,1,3,0.56,0.997,1
60.6,77.12,82.28,47.4,169.1,2,0,0.9,0.759,0
90.73,40.79,75.95,85.5,97.1,13,3,1.46,0.659,0
13.23,35.27,43.32,66.1,42.2,14,3,3.68,0.906,1
23.23,26.1,94.74,43.0,218.3,19,1,1.38,0.959,1
9.21,48.26,49.76,73.3,306.6,12,4,4.76,0.978,1
35.26,54.66,16.96,43.0,38.2,16,3,0.46,0.851,1
41.15,61.86,44.01,75.5,92.7,19,4,0.83,0.851,1
30.24,28.14,25.22,76.0,177.3,3,2,0.35,0.785,1
82.07,90.38,24.72,71.3,243.1,18,0,1.63,0.957,1
38.18,20.28,37.52,75.1,84.8,14,6,0.39,0.944,1
31.13,91.91,19.27,44.2,48.1,14,0,3.38,0.98,1
55.47,6.34,70.08,74.9,196.1,8,2,0.28,0.999,1
18.11,48.3,20.92,46.6,292.0,2,1,1.49,0.961,1
79.6,35.0,31.26,56.3,41.3,1,2,1.29,0.854,1
11.93,45.42,22.43,85.3,141.8,6,5,0.65,0.737,1
96.78,56.36,20.05,64.1,242.3,8,2,1.97,0.977,1
76.82,44.2,36.42,86.4,71.8,21,5,1.18,0.818,0
23.48,42.34,60.75,44.3,105.5,4,1,0.64,0.939,1
5.51,70.95,92.17,62.9,201.4,16,6,3.7,0.913,0
80.84,66.73,85.04,43.0,335.0,2,1,2.36,0.939,1
70.74,79.99,85.07,70.3,121.9,8,3,0.22,0.979,1
72.8,27.5,29.09,43.8,186.0,7,4,1.59,0.953,1
76.73,59.86,36.19,48.4,158.0,8,0,0.83,0.851,0
11.89,57.67,21.11,52.4,317.2,23,1,5.13,0.862,0
38.34,38.28,77.28,75.9,53.0,16,5,2.79,0.662,1
15.78,48.75,20.59,47.9,211.2,23,1,2.09,0.83,1
85.27,33.24,59.54,80.6,300.8,7,3,0.39,0.878,1
62.97,17.77,34.83,46.3,346.2,20,3,5.54,0.95,0
35.77,24.24,34.48,41.7,253.6,13,6,0.51,0.976,1
10.91,14.5,94.26,59.0,151.6,21,4,1.4,0.984,1
33.92,66.48,75.54,87.0,161.8,15,1,2.49,0.95,1
35.24,64.47,81.96,45.3,142.5,17,1,1.57,0.846,1
72.85,90.55,60.76,44.9,223.2,16,3,4.48,0.929,1
64.29,70.67,84.68,76.1,266.6,23,2,3.81,0.985,1
87.51,9.68,66.64,55.0,292.2,6,4,0.49,0.837,1
48.92,84.58,90.69,74.4,163.3,19,1,2.12,0.975,1
16.12,82.64,37.51,49.6,259.3,14,0,0.31,0.841,1
71.33,44.9,62.63,62.1,323.2,6,6,2.75,0.879,1
75.75,57.73,70.21,52.7,324.7,1,0,2.86,0.952,1
57.2,92.85,46.43,61.7,255.3,1,5,1.04,0.883,1
76.7,52.91,85.38,76.9,233.8,6,3,3.29,0.773,1
50.92,86.48,93.38,76.6,200.1,18,5,2.32,0.867,1
53.61,12.47,54.5,64.8,88.6,5,0,1.6,0.935,1
44.76,22.19,46.25,84.6,69.6,11,3,1.41,0.72,1
7.36,44.67,52.76,52.7,185.4,14,6,0.43,0.845,1
15.03,57.63,83.22,51.5,81.0,12,6,1.71,0.87,0
7.92,78.46,66.64,69.5,214.6,6,2,0.54,0.904,1
64.19,93.94,18.58,69.8,236.6,6,6,2.33,0.963,1
34.24,40.0,58.37,42.2,198.2,14,3,2.01,0.947,1
52.3,9.27,16.38,69.2,41.7,3,1,0.89,0.9,1
89.4,77.11,77.28,58.0,48.5,2,0,0.77,0.928,1
28.18,59.39,41.26,75.9,66.3,0,1,1.49,0.988,1
43.17,22.87,52.76,78.8,79.2,6,0,1.64,0.957,1
75.27,49.53,78.89,66.5,346.8,8,0,3.4,0.972,1
26.28,71.81,18.72,40.1,140.2,0,3,0.92,0.899,1
12.16,74.34,27.68,70.5,123.4,4,6,1.23,0.77,1
31.95,49.97,46.84,75.9,46.7,14,6,1.04,0.878,1
19.99,32.47,33.39,52.0,233.3,3,4,1.2,0.959,1
91.46,92.64,42.03,62.3,238.7,9,0,1.87,0.85,1
80.16,64.7,94.85,86.4,86.1,1,0,1.83,0.985,0
63.91,41.74,81.03,54.3,324.2,22,5,1.1,0.879,1
86.05,30.24,85.71,50.7,286.2,6,4,2.04,0.947,1
79.74,70.8,89.96,50.1,103.7,23,1,2.11,0.819,1
22.35,26.8,42.27,66.8,185.5,18,0,1.7,0.926,1
88.01,20.45,38.77,85.6,176.7,5,6,1.4,0.985,1
55.16,52.69,33.72,69.2,141.5,14,3,0.36,0.942,1
80.09,31.1,81.41,54.6,291.6,19,4,1.76,0.743,1
88.34,61.6,69.36,70.7,65.0,11,4,2.69,0.851,1
34.57,15.61,33.89,70.0,162.9,10,5,0.68,0.932,1
15.23,63.94,45.16,68.7,167.0,2,0,3.21,0.725,1
26.2,30.5,55.54,47.7,180.0,19,1,1.97,0.86,1
44.72,5.02,57.25,70.5,305.6,16,1,0.74,0.932,1
81.08,16.42,86.1,60.6,99.8,6,6,0.56,0.982,1
85.05,89.03,45.45,40.9,62.9,22,2,0.76,0.779,0
5.65,83.06,87.68,65.9,227.7,22,2,3.05,0.83,1
52.5,26.02,50.31,87.5,85.6,17,3,0.78,0.98,1
43.82,75.05,74.71,56.8,54.0,16,6,2.5,0.971,1
25.66,59.77,89.42,86.3,166.5,15,5,1.78,0.927,0
16.15,92.38,87.61,44.6,100.3,1,0,1.78,0.736,1
36.4,38.62,19.56,75.2,145.6,4,1,4.03,0.784,0
92.69,66.33,31.46,45.5,113.1,20,2,4.35,0.922,1
35.06,10.72,53.15,53.1,59.6,12,0,1.74,0.865,1
53.25,40.66,49.52,67.4,209.3,10,5,0.34,0.908,1
70.38,91.74,66.27,68.5,38.6,23,0,0.55,0.947,1
38.82,53.51,90.58,77.2,339.2,0,1,6.14,0.955,1
95.38,30.91,23.99,69.5,139.2,22,0,0.49,0.985,1
94.51,15.82,51.15,68.5,252.5,2,4,3.81,0.99,1
28.42,68.32,30.39,83.8,289.3,17,2,1.75,0.874,1
51.24,63.04,86.53,61.7,119.3,20,3,0.44,0.981,0
32.98,38.65,92.17,50.8,269.6,3,2,5.24,0.77,1
31.49,90.58,53.3,47.8,296.4,8,0,5.47,0.976,1
8.43,7.0,23.32,59.2,107.2,10,4,2.11,0.975,1
61.69,32.34,77.82,74.2,347.6,16,2,1.18,0.942,1
51.75,87.9,70.77,42.0,36.6,10,1,2.07,0.843,1
9.79,33.88,43.37,46.2,99.4,2,4,2.18,0.961,1
30.91,27.7,85.99,45.1,279.6,18,5,2.15,0.936,1
89.47,53.08,93.07,68.1,92.1,19,2,2.84,0.734,1
27.28,79.14,59.63,51.7,253.4,22,0,0.34,0.999,1
18.48,14.28,60.26,48.0,303.8,20,1,0.42,0.957,1
50.52,89.87,38.8,68.5,336.9,10,6,0.86,0.874,1
96.67,76.56,61.76,76.5,181.8,13,0,1.06,0.92,1
27.51,21.31,50.17,55.9,340.8,5,5,2.23,0.775,1
67.51,69.08,39.18,67.8,161.7,18,0,0.58,0.993,1
75.83,39.65,20.37,44.7,99.8,20,5,1.76,0.813,1
27.1,41.21,35.22,84.9,194.5,14,1,0.61,0.875,1
72.72,75.5,30.83,56.2,237.9,10,4,1.08,0.995,1
39.2,91.65,58.36,87.9,176.5,17,2,5.68,0.901,1
63.8,16.4,63.13,87.0,211.4,3,4,4.72,0.965,0
63.92,42.86,63.69,77.4,163.3,18,6,6.32,0.856,1
54.83,48.28,46.05,41.0,197.9,2,5,1.99,0.973,1
13.4,38.87,48.7,66.1,334.8,11,1,1.59,0.903,1
82.68,37.69,81.74,44.2,189.9,3,5,3.98,0.891,1
34.83,9.7,53.1,83.0,111.0,23,2,0.37,0.862,1
22.35,66.7,94.02,77.9,272.8,11,1,7.87,0.895,0
8.79,44.26,50.17,86.7,138.0,23,3,1.44,0.908,1
59.95,22.53,66.97,69.2,291.2,0,3,2.45,0.969,1
68.01,78.44,19.03,65.1,48.2,15,4,2.81,0.85,1
6.54,77.23,67.27,64.9,136.3,20,1,2.18,0.97,1
52.62,48.78,83.11,58.5,60.2,1,6,4.64,0.952,1
26.06,31.86,90.4,62.5,57.3,21,2,0.88,0.987,1
65.0,62.43,94.79,70.5,240.7,2,4,1.72,0.966,1
21.22,30.93,37.57,84.8,153.3,15,3,1.33,0.775,1
69.26,26.24,61.03,68.6,308.9,9,3,2.64,0.992,1
40.97,70.75,51.06,81.1,195.2,8,3,1.21,0.866,0
92.12,8.63,60.11,81.4,124.5,13,4,4.67,0.866,0
17.79,13.53,27.6,64.9,260.7,7,2,1.55,0.99,1
36.72,5.61,83.49,56.7,229.7,1,3,1.74,0.995,1
15.55,18.76,87.77,70.7,285.9,10,6,1.56,0.938,1
91.0,11.21,50.97,61.4,235.9,1,4,2.15,0.909,0
86.59,94.62,37.43,43.9,83.4,14,4,1.63,0.967,1
28.99,30.99,26.27,58.1,244.5,17,0,5.74,0.732,1
66.38,18.43,69.7,87.7,155.3,4,0,0.48,0.985,1
81.0,26.69,39.98,42.3,178.2,6,6,0.23,0.943,1
56.63,89.25,87.76,73.4,324.9,22,5,1.68,0.918,1
54.26,51.81,68.68,80.4,145.2,18,2,3.09,0.847,1
27.49,37.83,66.65,71.1,225.8,18,3,2.29,0.968,1
13.66,83.61,59.75,67.3,146.3,15,0,6.78,0.862,0
88.44,40.55,18.66,74.0,60.3,18,2,0.6,0.68,1
88.74,35.15,89.55,60.6,175.1,16,0,2.57,0.908,1
63.88,23.66,65.23,44.4,221.1,12,6,3.58,0.969,1
36.53,39.0,94.52,86.2,160.4,7,3,5.06,0.938,1
37.48,33.5,57.99,60.8,155.0,10,4,1.7,0.955,1
72.51,65.96,71.81,71.9,292.5,17,3,1.1,0.902,1
88.43,31.06,19.5,65.5,39.5,10,0,6.42,0.969,1
87.5,56.95,65.54,42.6,124.6,22,3,3.34,0.911,1
77.53,10.93,76.17,85.7,289.8,8,6,1.47,0.98,1
64.71,22.22,77.28,78.0,324.6,13,4,2.31,0.986,1
12.83,41.67,76.61,47.2,161.9,1,1,0.85,0.906,1
20.03,89.33,33.1,87.1,314.4,16,4,2.11,0.996,0
88.57,38.95,93.03,75.4,93.7,20,0,1.75,0.856,0
61.4,64.77,94.61,62.7,100.9,15,4,0.28,0.752,1
5.86,27.96,21.05,69.3,300.8,4,5,4.22,0.993,1
14.44,16.43,89.92,45.1,319.0,0,2,1.55,0.925,1
66.71,10.27,38.16,66.9,101.3,8,3,1.51,0.757,0
5.47,32.49,70.14,43.5,49.0,2,5,0.87,0.938,1
19.96,19.19,42.05,66.2,58.9,13,1,0.64,0.946,1
56.03,20.66,92.42,66.5,113.6,17,1,0.89,0.94,1
69.35,73.47,23.12,82.0,273.7,11,3,2.3,0.938,1
65.63,6.43,54.82,74.8,193.2,22,3,0.41,0.992,1
25.86,55.2,49.24,52.0,175.8,13,2,1.01,0.775,1
71.23,39.15,41.08,82.6,216.9,15,4,7.9,0.958,1
27.06,50.59,66.64,67.5,314.9,4,1,0.83,0.841,0
35.26,55.65,25.48,69.1,58.9,19,0,7.0,0.937,1
74.42,33.2,72.33,48.1,252.3,19,3,0.42,0.819,1
65.42,31.56,93.45,81.2,326.6,14,3,3.36,0.975,1
83.98,71.01,79.36,84.7,98.3,8,5,1.36,0.895,1
66.16,83.41,83.8,77.2,298.1,16,5,0.63,0.991,1
57.85,22.33,43.77,85.2,253.4,11,5,3.3,0.806,0
13.71,13.79,40.99,54.5,34.6,12,1,0.21,0.988,1
39.2,85.8,56.36,81.3,104.1,9,5,1.05,0.909,1
29.66,36.49,18.66,63.5,223.9,6,3,2.06,0.975,1
27.69,54.62,90.63,47.9,190.8,23,1,0.73,0.944,1
95.49,37.36,26.5,72.1,198.9,20,6,1.01,0.539,1
41.56,16.32,87.24,72.8,104.2,6,0,0.39,0.993,1
87.96,58.04,21.69,53.8,246.0,7,0,4.04,0.972,1
63.7,52.26,80.81,41.3,115.3,23,6,1.3,0.776,1
78.92,23.27,27.16,49.6,154.6,14,1,0.51,1.0,1
51.75,45.67,18.05,59.2,148.1,20,3,0.64,0.911,1
58.65,76.73,72.56,48.0,245.0,17,2,0.84,0.935,1
50.8,58.14,37.42,49.3,58.9,21,6,0.72,0.864,1
23.16,13.72,72.16,58.8,95.8,0,2,1.6,0.991,1
72.19,54.32,59.41,86.2,94.2,9,4,4.91,0.979,1
31.11,68.25,23.7,76.7,64.7,21,2,0.61,0.913,1
7.26,76.34,89.57,55.3,96.4,18,5,1.41,0.976,1
65.03,61.62,51.19,85.7,224.3,2,3,2.38,0.792,0
21.47,18.74,73.76,71.0,264.3,6,2,0.61,0.97,1
92.46,68.92,55.08,61.9,241.3,3,4,0.53,0.945,1
93.72,65.96,63.35,62.5,182.1,4,0,0.54,0.983,1
90.08,7.2,39.22,59.7,46.8,5,1,4.47,0.861,1
39.42,42.06,31.03,51.2,336.9,9,2,2.68,0.975,1
6.44,34.97,58.41,58.6,83.8,11,1,1.02,0.946,1
91.33,65.25,50.22,65.3,243.9,13,6,4.86,0.939,1
44.82,24.45,46.21,65.3,322.1,21,1,6.34,0.979,1
94.9,58.18,68.81,76.6,253.3,1,5,1.22,0.843,0
94.62,87.19,70.24,57.2,99.8,2,5,1.63,0.726,1
84.33,76.8,18.67,74.4,131.1,0,0,1.09,0.801,1
32.38,87.93,42.1,67.7,39.7,2,4,0.72,0.878,1
40.81,93.07,47.94,86.2,226.1,23,3,3.23,0.967,0
84.16,5.96,22.75,58.5,226.2,14,3,2.29,0.869,1
34.47,61.05,33.87,83.3,262.2,15,3,1.11,0.983,1
20.76,42.16,19.13,79.4,33.5,19,6,0.23,0.801,1
56.78,82.39,94.7,70.6,291.7,1,4,3.09,0.878,1
92.06,27.66,73.92,71.4,266.4,19,5,1.5,0.816,0
69.73,93.29,22.0,44.1,75.1,15,4,0.35,0.875,1
58.02,60.23,16.62,85.6,141.2,14,4,0.47,0.998,1
14.04,76.42,72.54,45.1,234.3,6,2,2.18,0.995,1
62.2,12.7,50.14,67.0,188.7,4,1,1.78,0.926,1
97.08,21.51,77.94,55.8,66.8,4,4,0.75,0.884,1
18.03,73.26,88.88,60.6,58.0,20,4,0.5,0.995,1
53.2,6.98,62.94,69.3,280.1,8,6,4.52,0.958,1
86.6,78.52,29.97,83.6,79.9,22,2,0.49,0.893,0
73.89,6.26,77.58,62.0,85.1,13,1,0.38,0.682,1
69.82,64.14,91.46,87.4,295.9,18,6,2.13,0.844,1
70.33,37.86,61.42,68.5,225.9,17,5,0.78,0.974,1
38.43,60.03,69.56,47.7,223.5,8,5,2.34,0.907,0
32.3,67.64,42.0,49.1,183.4,2,3,1.54,0.903,1
80.27,35.82,45.52,74.4,212.1,10,0,0.67,0.85,1
80.34,14.72,73.77,42.4,222.6,23,4,0.34,0.964,1
85.64,11.27,89.22,63.1,339.7,14,4,0.35,0.99,1
89.93,58.0,65.32,47.1,101.4,3,0,1.96,0.995,1
52.55,51.86,78.19,60.8,98.7,20,4,3.04,0.982,1
51.64,71.8,28.73,76.0,48.3,23,5,2.54,0.875,1
79.24,50.88,31.96,62.0,240.6,4,4,2.0,0.937,1
65.45,43.02,57.56,47.8,205.7,17,4,0.67,0.907,1
70.28,40.83,29.12,52.1,65.6,21,0,4.16,0.875,0
79.01,7.38,65.8,57.6,146.7,22,5,2.18,0.936,1
87.77,35.2,38.33,43.3,87.2,11,2,2.57,0.923,1
36.43,92.84,78.32,68.0,136.1,0,2,0.71,0.933,1
39.93,83.62,79.65,69.2,334.4,21,0,0.81,0.984,1
13.74,34.64,52.1,43.0,248.7,19,2,4.96,0.991,1
58.78,57.9,29.46,59.3,32.4,1,3,1.49,0.954,0
8.34,81.26,66.74,59.9,110.8,8,3,1.81,0.734,1
48.3,44.71,94.42,56.0,33.3,21,5,0.43,0.991,1
55.47,6.62,64.81,66.8,258.8,17,0,1.2,0.939,1
31.65,11.71,17.86,56.6,180.2,4,1,4.56,0.878,1
59.95,50.94,16.38,60.0,348.1,21,5,4.81,0.856,1
7.84,92.25,40.63,78.3,264.7,13,4,2.82,0.95,0
8.47,67.39,30.66,47.8,195.7,10,1,1.78,0.989,1
81.5,11.38,80.04,69.7,287.5,20,4,5.54,0.933,1
38.5,22.04,82.58,64.3,255.5,21,5,4.31,0.889,1
16.82,74.42,35.69,54.6,108.0,2,6,3.95,0.66,0
53.57,80.73,41.05,74.9,199.7,8,2,4.47,0.774,1
76.61,60.59,33.9,66.5,207.9,1,2,1.41,0.943,1
25.07,63.0,87.67,62.9,174.4,13,3,1.69,0.83,1
62.93,7.55,55.21,72.0,87.3,1,1,1.3,0.847,1
12.94,79.57,67.49,78.5,101.5,20,0,2.89,0.894,1
9.81,75.94,48.24,86.7,119.9,9,6,1.99,0.694,0
54.42,28.31,65.48,70.2,33.3,18,4,0.34,0.947,1
55.28,68.78,45.87,82.0,323.4,1,2,0.49,0.942,1
64.28,24.34,42.17,40.1,249.6,15,6,0.63,0.983,1
72.53,8.63,65.76,65.5,250.7,5,5,2.42,0.892,0
95.75,23.1,62.28,50.3,213.1,11,6,0.43,0.986,1
53.02,21.08,38.48,44.5,250.6,21,4,1.76,0.965,1
35.03,35.4,26.95,65.5,344.2,6,0,3.88,0.949,1
78.95,42.66,44.49,75.8,153.3,3,6,6.09,0.909,1
30.19,50.77,48.22,59.8,258.0,7,4,1.32,0.933,1
45.82,47.91,65.29,72.2,145.0,18,3,1.72,0.763,0
12.3,29.36,88.16,63.5,303.4,9,0,3.76,0.934,1
7.36,7.63,17.89,61.0,304.6,0,0,5.69,0.869,0
94.53,59.46,34.49,53.9,318.7,4,4,1.19,0.876,1
82.75,40.62,30.5,58.4,31.7,5,4,1.07,0.912,1
69.73,31.88,55.18,56.8,125.4,18,2,1.4,0.961,1
43.03,83.02,49.38,71.0,72.9,17,4,0.79,0.939,1
21.12,72.21,73.32,45.6,175.3,18,0,4.13,0.864,1
19.55,82.2,34.39,44.4,188.5,18,6,0.97,0.91,1
28.27,49.55,62.56,71.7,111.9,22,5,1.39,0.99,1
56.08,16.78,85.71,66.2,261.5,0,4,0.97,0.874,1
71.46,67.66,87.85,60.6,116.3,19,5,0.45,0.828,1
66.4,23.55,91.7,47.3,303.2,10,5,2.07,0.99,1
31.03,44.71,76.86,59.7,86.9,2,2,1.97,0.799,1
93.8,10.85,87.48,77.9,147.5,9,1,0.9,0.919,1
73.62,79.28,33.76,82.7,229.1,6,5,0.26,0.996,1
56.55,16.33,30.81,73.7,223.7,16,3,5.72,0.872,1
61.89,86.28,15.52,42.9,55.0,23,5,1.08,0.858,1
44.02,82.78,71.55,72.2,300.8,15,6,1.75,0.969,0
28.04,46.81,90.0,51.6,221.4,6,0,0.51,0.933,1
38.11,71.99,29.95,55.1,308.4,12,6,0.78,0.765,1
75.48,60.75,65.96,49.4,307.6,11,2,1.34,0.965,1
6.34,77.28,74.72,77.2,204.7,11,3,1.85,0.948,1
15.79,43.86,89.21,71.1,321.5,7,6,4.05,0.994,1
9.28,75.72,66.75,69.4,301.5,7,4,0.89,0.89,0
8.79,46.62,92.62,72.1,336.6,12,5,4.31,0.958,1
84.56,89.69,42.57,51.4,302.2,10,4,1.43,0.936,1
70.44,48.77,42.99,61.3,292.8,0,1,1.33,0.852,0
49.1,46.64,58.44,70.4,180.2,16,4,1.21,0.967,1
14.1,75.66,45.68,70.6,97.8,18,3,4.55,0.972,1
50.72,78.94,15.11,78.0,321.4,12,2,0.78,0.916,1
49.03,54.9,73.54,53.8,261.2,22,6,4.09,0.936,1
21.11,21.18,75.14,77.0,120.2,14,1,0.39,0.701,1
45.35,47.1,74.76,61.1,139.1,23,3,6.42,0.972,1
42.06,92.13,42.6,72.2,249.5,11,2,1.6,0.984,1
62.27,72.77,56.78,61.9,182.9,20,6,12.0,0.901,0
64.06,78.0,43.8,85.5,56.1,16,3,2.07,0.698,0
9.21,7.95,16.28,48.6,75.3,2,4,0.45,0.879,1
39.84,47.11,60.0,72.4,268.6,6,3,0.33,0.915,1
63.2,63.2,24.9,67.7,135.1,1,1,0.63,0.991,1
51.79,79.7,21.4,48.3,192.4,1,3,1.29,0.97,0
84.65,9.43,75.44,43.2,275.3,5,0,2.95,0.872,1
66.26,81.72,15.76,78.4,270.4,3,4,0.2,0.898,1
20.15,54.36,91.72,47.6,83.4,15,3,0.8,0.789,1
11.56,22.76,56.22,49.0,61.5,14,2,1.97,0.89,0
64.74,33.55,93.64,87.0,219.2,9,4,0.91,0.95,0
7.47,30.37,19.64,74.4,267.3,13,5,1.08,0.884,1
59.48,52.78,61.68,52.0,77.7,8,2,0.92,0.802,1
92.44,9.65,42.95,68.4,149.0,14,1,6.32,0.759,0
58.52,19.27,82.48,65.6,308.5,6,5,0.34,0.828,0
41.1,78.14,43.9,80.5,332.2,6,5,4.96,0.896,0
64.83,16.93,35.84,75.0,175.3,7,5,0.98,0.879,1
47.62,26.01,83.6,79.9,55.4,18,0,0.77,0.779,1
55.74,45.8,44.97,50.2,112.5,17,6,4.5,0.892,1
92.56,51.54,16.35,70.7,104.6,16,3,0.88,0.996,1
40.91,73.72,46.22,41.9,106.5,17,4,8.96,0.978,0
94.39,45.26,67.36,43.3,188.0,18,6,1.79,0.998,1
89.2,76.09,35.35,74.2,216.6,20,3,1.49,0.865,1
23.21,60.65,49.56,41.2,69.2,7,3,7.7,0.908,1
11.45,15.18,19.54,67.8,314.6,12,4,0.71,0.599,0
14.37,19.07,62.05,80.3,228.4,10,6,4.99,0.921,1
6.69,44.33,75.5,58.2,221.1,18,5,1.99,0.935,1
13.78,40.72,48.07,42.2,345.9,6,5,3.01,0.865,1
68.52,71.92,48.62,74.3,231.0,4,0,1.94,0.623,1
11.62,57.27,22.06,84.6,327.3,4,0,2.13,0.845,1
34.66,39.93,31.16,74.4,121.6,7,1,0.54,0.805,1
83.57,20.37,27.37,67.8,106.8,9,4,0.53,0.956,1
7.16,25.42,53.54,51.0,195.3,4,4,1.21,0.779,1
80.75,56.8,57.34,40.7,192.8,14,2,1.05,0.931,1
31.21,43.11,90.92,73.3,102.5,22,2,2.69,0.859,1
15.99,51.34,20.86,51.1,253.9,15,2,2.77,0.987,1
69.8,20.36,62.99,81.2,39.5,9,0,1.86,0.995,1
63.49,64.66,57.12,62.4,251.0,23,1,1.23,0.994,1
86.6,81.73,56.3,65.5,176.3,7,1,2.46,0.935,1
73.36,28.21,84.85,76.2,250.5,18,5,2.53,0.929,1
79.72,49.24,31.44,77.4,182.7,3,3,3.51,0.995,1
31.23,92.8,18.26,70.8,342.7,13,1,3.54,0.963,1
21.5,34.99,68.78,85.0,137.1,7,6,0.34,0.717,0
74.81,58.55,42.61,87.2,344.4,20,2,1.14,0.997,0
80.04,13.12,16.41,85.5,50.8,13,4,1.29,0.904,1
97.12,59.54,35.11,79.6,248.8,11,3,3.95,0.964,0
43.37,13.07,39.75,73.9,175.4,0,5,1.59,0.816,1
39.6,91.33,64.35,71.8,293.1,22,0,1.54,0.841,1
77.21,69.41,28.81,45.0,282.7,18,1,1.81,0.877,1
36.69,75.93,48.04,53.0,286.1,17,5,0.47,0.746,1
91.56,68.37,53.6,40.3,60.3,11,4,1.87,0.982,1
84.83,58.08,51.74,46.6,293.2,9,2,1.8,0.963,1
44.9,45.49,92.92,61.1,98.5,20,0,3.01,0.861,1
74.83,82.25,18.64,47.0,38.2,0,0,2.21,0.768,1
75.17,91.12,91.08,83.3,99.7,13,1,6.4,0.947,0
14.59,49.91,61.55,78.7,183.4,8,6,0.37,0.83,1
88.94,88.84,78.66,43.4,267.5,14,4,3.15,0.88,0
51.99,57.5,49.43,51.9,100.0,20,2,2.98,0.909,1
81.86,53.45,51.31,79.3,66.2,21,2,0.83,0.945,1
34.76,45.9,85.35,78.5,236.7,22,2,2.6,0.924,1
88.28,23.84,86.67,85.4,344.8,13,2,2.35,0.971,1
41.2,5.33,34.1,87.9,222.3,8,1,0.91,0.921,1
